schedule_no,schedule_name
215CD/1,All Days
215D/1,All Days
215E/1,All Days
215E/2,All Days
215F/1,All Days
215F/2,All Days
215H/11,All Days
215H/12,All Days
215H/1,Week Days
215H/2,All Days
215H/3,All Days
215H/4,All Days
215H/5,All Days
215H/6,Holiday
215H/8,All Days
215H/9,All Days
215HA/2,All Days
215HB/1,All Days
215HB/2,All Days
215HC/1,All Days
215HC/2,All Days
215J/2,All Days
215J/3,All Days
215K/1,All Days
215K/2,All Days
215K/3,All Days
215K/4,All Days
215K/5,All Days
215K/6,All Days
215K/8,All Days
215M/2,All Days
215M/3,All Days
215MB/1,Week Days
215N/1,All Days
215N/2,All Days
215N/4,All Days
215N/5,All Days
215NA/1,All Days
215NB/1,All Days
215NC/1,All Days
215P/1,All Days
215R/1,All Days
215T/1,All Days
215W/4,All Days
215X/1,All Days
215Y/1,All Days
215Z/1,All Days
215Z/2,All Days
216/1,All Days
216A/1,All Days
216B/1,All Days
217,All Days
217D/1,All Days
217D/2,All Days
217E/1,All Days
218/1,All Days
218A/1,All Days
219/1,All Days
22/1,All Days
220D/1,All Days
220D/2,All Days
220E/1,All Days
221/1,All Days
221B/1,All Days
221C/1,All Days
221D/1,All Days
221D/3,Week Days
221E/1,All Days
221F/1,All Days
221G/1,All Days
221J/1,All Days
221L/1,All Days
222/1,All Days
222/2,Week Days
222A/11,All Days
222A/12,Holiday
222A/13,Week Days
222A/14,Holiday
222A/15,All Days
222A/2,Saturday
222A/3,All Days
222A/5,All Days
222A/6,Saturday
222A/7,All Days
222A/8,Week Days
222A/9,All Days
222C/1,All Days
222F/1,All Days
222F/2,School Holiday
222K/1,All Days
222K/2,All Days
222K/3,All Days
222N/1,All Days
222N/2,All Days
222N/3,All Days
222N/4,All Days
223A/1,All Days
223A/2,All Days
223D/1,All Days
223D/2,All Days
223D/3,All Days
223D/4,All Days
223D/5,All Days
223E/1,All Days
223E/2,All Days
223F/1,All Days
223H/1,All Days
223J/1,All Days
223L/1,All Days
223L/2,All Days
223P/1,All Days
223PA/1,All Days
224/1,All Days
224A/1,All Days
224C/1,All Days
224DA/1,All Days
224E/1,All Days
225/1,Holiday
225/2,Week Days
225AB/1,All Days
225B/1,All Days
225C/11,All Days
225C/12,Holiday
225C/1,All Days
225C/2,All Days
225C/3,All Days
225C/4,All Days
225C/5,Week Days
225C/6,All Days
225C/7,Week Days
225C/8,All Days
225C/9,All Days
225CB/1,All Days
225CF/1,All Days
225D/1,Week Days
225D/2,Week Days
225DA/1,All Days
225DA/2,Holiday
225F/2,All Days
225G/1,All Days
225G/2,All Days
225H/1,All Days
225K/1,All Days
225K/3,Week Days
226/1,All Days
226A/1,All Days
226B/1,All Days
226C/1,All Days
226C/2,All Days
226D/1,All Days
226E/1,All Days
226F/1,All Days
226G/1,All Days
226H/1,All Days
226J/1,All Days
226K/1,All Days
226L/1,All Days
226M/10,Week Days
226M/11,Week Days
226M/12,All Days
226M/13,All Days
226M/14,All Days
226M/15,All Days
226M/1,All Days
226M/2,All Days
226M/3,All Days
226M/8,All Days
226M/9,All Days
226MB/1,All Days
226N/10,Week Days
226N/11,Week Days
226N/12,Week Days
226N/13,All Days
226N/14,All Days
226N/15,All Days
226N/16,All Days
226N/17,All Days
226N/18,All Days
226N/19,All Days
226N/1,All Days
226N/2,All Days
226N/3,Week Days
226N/4,All Days
226N/5,All Days
226N/6,All Days
226N/7,All Days
226N/8,All Days
226N/9,All Days
226NA/1,All Days
226NB/1,All Days
226P/1,All Days
226Q/1,All Days
226R/1,All Days
226S/1,All Days
226SB/1,All Days
226T/1,All Days
226V/1,All Days
226VA/1,All Days
226VB/1,All Days
226VC/1,All Days
226Y/1,All Days
227/1,Week Days
227A/1,All Days
227A/2,All Days
227B/1,All Days
227BA/1,All Days
227C/1,All Days
227D/1,All Days
227E/1,All Days
227F/1,All Days
227G/1,All Days
227H/1,All Days
227J/1,All Days
227K/1,All Days
227L/1,All Days
227M/1,All Days
227N/1,All Days
227N/2,All Days
227NA/1,All Days
227P/1,All Days
227Q/1,All Days
227RC/1,All Days
227S/1,All Days
227T/1,All Days
227U/1,All Days
227UB/1,All Days
227V/1,All Days
227VB/1,All Days
227W/1,All Days
227Y/1,All Days
227Y/2,All Days
227Z/1,All Days
228/1,All Days
228A/1,All Days
228A/2,All Days
228B/1,All Days
228B/3,All Days
228C/1,All Days
228E/1,All Days
228F/1,All Days
228G/1,All Days
228H/1,All Days
228J/1,All Days
228K/1,All Days
229/1,All Days
229/2,All Days
22A/1,All Days
23/1,Week Days
230/1,All Days
230A/1,All Days
230B/1,Week Days
231/1,All Days
231A/1,All Days
231B/1,All Days
231C/1,All Days
231D/1,All Days
231E/1,All Days
231F/1,All Days
231G/1,All Days
231H/1,All Days
231J/1,All Days
231M/1,All Days
231P/1,All Days
234/1,All Days
234/2,All Days
234A/1,All Days
234A/4,Holiday
234A/5,All Days
234A/6,All Days
234A/7,All Days
234A/9,Week Days
234C/1,All Days
234E/1,All Days
234E/2,All Days
234E/3,All Days
234E/4,Week Days
234E/6,All Days
234E/7,Holiday
234E/8,All Days
234F/1,Week Days
235/1,Holiday
235/2,Holiday
235A/2,Holiday
235AA/1,All Days
235AA/2,Saturday
235AA/3,Holiday
235AA/4,Week Days
235B/1,All Days
235D/1,All Days
235E/1,All Days
235F/1,All Days
235H/1,All Days
235J/1,All Days
235K/1,All Days
235K/2,All Days
235M/1,All Days
235P/1,All Days
235Q/1,All Days
235s/1,Week Days
237/1,All Days
237C/1,All Days
237D/1,Saturday
237J/1,All Days
238/4,All Days
238/5,Holiday
238/6,All Days
238A/2,All Days
238AB/1,All Days
238B/2,Week Days
238C/1,Week Days
238C/2,All Days
238C/3,Week Days
238F/1,All Days
238L/1,All Days
238S/1,All Days
238S/2,All Days
238SA/1,All Days
238SA/2,All Days
238U/10,Holiday
238U/11,Week Days
238U/12,Holiday
238U/1,Holiday
238U/2,Saturday
238U/3,Week Days
238U/4,Holiday
238U/5,All Days
238U/6,Week Days
238U/7,All Days
238U/8,Holiday
238U/9,Week Days
238UB/3,Week Days
238V/3,Week Days
238VA/1,All Days
238VR/1,All Days
238VR/2,All Days
238W/1,All Days
238Z/1,All Days
238ZA/1,Week Days
238ZA/2,Holiday
238ZA/3,Holiday
239B/1,All Days
240/1,All Days
240/2,All Days
240A/1,All Days
240BA/1,All Days
240C/1,All Days
240C/2,All Days
240D/1,All Days
240DA/1,All Days
240E/1,All Days
240F/1,All Days
240H/1,All Days
240J/1,All Days
240K/1,All Days
240M/2,All Days
240N/1,All Days
240P/1,All Days
240R/1,All Days
241/1,All Days
241/2,All Days
241A/1,All Days
241B/1,All Days
241B/2,All Days
241B/3,All Days
241C/3,All Days
241C/4,All Days
241CB/1,All Days
241D/1,All Days
241D/2,Week Days
241E/1,All Days
241H/1,All Days
241H/2,All Days
241H/3,All Days
241K/1,All Days
241M/1,All Days
241N/1,All Days
241P/1,All Days
241Q/1,All Days
241S/2,All Days
241S/4,All Days
242/1,All Days
242/2,All Days
242/3,Week Days
242/4,Week Days
242B/1,All Days
242B/2,All Days
242B/3,All Days
242B/4,All Days
242B/5,Holiday
242B/6,All Days
242B/7,Week Days
242BA/1,All Days
242CB/1,All Days
242CB/2,All Days
242F/1,All Days
242FA/1,All Days
242FB/1,All Days
242G/1,Holiday
242H/1,All Days
242J/1,All Days
242JA/1,All Days
242JK/1,All Days
242L/1,All Days
242LA/1,All Days
242M/1,All Days
242MA/1,All Days
242N/1,All Days
242P/1,All Days
242PA/1,All Days
242Q/1,All Days
242R/1,All Days
242RA/1,All Days
242T/1,All Days
242TA/1,All Days
242TB/1,All Days
242TC/1,All Days
242TE/1,All Days
242U/1,All Days
242V/1,All Days
242VA/1,All Days
242W/1,All Days
242X/1,All Days
242Y/1,All Days
242Z/1,All Days
242ZB/1,All Days
242ZC/1,All Days
242ZD/1,All Days
243/1,All Days
243/3,All Days
243/4,All Days
243A/1,All Days
243B/2,All Days
243C/2,All Days
243D/1,All Days
243D/2,All Days
243D/4,All Days
243F/1,All Days
243G/1,All Days
243H/1,All Days
243J/1,All Days
243J/2,Holiday
243M/1,All Days
244A/2,Week Days
244C/1,Week Days
244C/3,Holiday
244C/5,All Days
244E/1,Saturday
244F/1,All Days
244H/1,All Days
245/1,All Days
245B/1,All Days
245C/1,All Days
245D/1,All Days
245D/2,All Days
245DA/2,All Days
245E/1,All Days
245F/1,All Days
245GA/1,All Days
245H/1,All Days
245J/1,All Days
245K/1,All Days
245M/2,Week Days
245MA/1,All Days
245N/1,All Days
245Q/1,All Days
245R/1,All Days
246/1,All Days
246/2,All Days
247/1,All Days
248/10,All Days
248/11,All Days
248/12,All Days
248/13,All Days
248/14,All Days
248/15,All Days
248/16,All Days
248/17,All Days
248/19,All Days
248/1,All Days
248/20,All Days
248/21,All Days
248/23,All Days
248/24,All Days
248/25,All Days
248/26,All Days
248/27,All Days
248/29,All Days
248/2,All Days
248/30,All Days
248/31,All Days
248/32,All Days
248/33,Week Days
248/4,All Days
248/5,All Days
248/8,All Days
248/9,All Days
248A/2,All Days
248AN/1,All Days
248B/2,All Days
248BA/3,Week Days
248BA/4,Week Days
248BA/5,All Days
248BB/3,All Days
248BB/4,All Days
248BB/5,All Days
248C/1,All Days
248D/1,All Days
248F/1,All Days
248F/3,All Days
248G/1,Week Days
248G/2,Holiday
248G/3,Holiday
248G/4,All Days
248G/5,All Days
248G/6,All Days
248G/8,Week Days
248HA/1,All Days
248L/1,All Days
248M/1,All Days
248N/1,Week Days
248N/2,All Days
248N/3,Week Days
248N/4,All Days
248N/5,All Days
248P/1,All Days
248PS/1,All Days
248R/1,Week Days
248R/2,All Days
248T/1,All Days
248U/1,All Days
248V/2,All Days
248Y/1,All Days
248Z/1,All Days
24A/2,All Days
24A/3,All Days
24B/1,Holiday
24E/2,Holiday
24F/1,All Days
24H/1,All Days
25/2,All Days
25/4,Week Days
250/1,All Days
250AA/1,All Days
250AB/1,All Days
250AB/3,All Days
250AC/2,All Days
250AC/3,All Days
250AC/4,All Days
250AC/5,All Days
250AC/6,All Days
250AD/1,All Days
250AD/3,All Days
250B/1,All Days
250B/2,All Days
250CA/1,All Days
250CC/1,All Days
250D/1,All Days
250DA/1,All Days
250DA/3,All Days
250DT/1,All Days
250E/1,All Days
250H/1,All Days
250M/1,All Days
250N/1,All Days
250P/1,All Days
250P/2,All Days
250P/3,Week Days
250P/4,Holiday
250P/5,All Days
250P/6,All Days
250P/7,Week Days
250P/8,Holiday
250P/9,Week Days
250S/1,All Days
250SA/2,All Days
250SB/1,All Days
250TD/1,All Days
250V/1,All Days
250W/1,All Days
250Z/1,All Days
251/1,All Days
251C/2,All Days
251C/3,All Days
251C/4,All Days
251D/1,All Days
251E/2,All Days
251E/3,All Days
251E/4,All Days
251E/6,All Days
251G/1,All Days
251M/1,All Days
252/11,All Days
252/12,All Days
252/13,All Days
252/15,All Days
252/16,All Days
252/1,Week Days
252/2,Holiday
252/4,All Days
252/5,All Days
252/6,Holiday
252/9,All Days
252A/10,Holiday
252A/11,Holiday
252A/13,Holiday
252A/14,All Days
252A/15,All Days
252A/2,All Days
252A/4,All Days
252A/8,All Days
252A/9,All Days
252D/1,All Days
252D/2,Holiday
252E/10,All Days
252E/1,All Days
252E/2,Holiday
252E/3,All Days
252E/4,All Days
252E/5,Holiday
252E/8,All Days
252E/9,All Days
252F/11,All Days
252F/12,All Days
252F/13,All Days
252F/14,All Days
252F/15,All Days
252F/16,All Days
252F/17,All Days
252F/1,All Days
252F/20,All Days
252F/22,All Days
252F/2,All Days
252F/3,All Days
252F/4,All Days
252F/8,All Days
252F/9,All Days
252FA/2,All Days
252FB/1,All Days
252FC/1,All Days
252G/1,Holiday
252GA/1,All Days
252H/1,All Days
252H/2,All Days
252H/3,All Days
252H/4,All Days
252L/1,All Days
252R/1,All Days
253/2,All Days
253A/1,All Days
253C/1,Week Days
253D/1,All Days
253F/1,Holiday
253G/1,All Days
253G/2,All Days
253H/1,All Days
253HC/1,Holiday
253HE/1,All Days
253J/1,All Days
253J/2,Week Days
253J/3,All Days
253J/4,All Days
253J/5,All Days
253K/2,All Days
253K/3,All Days
253L/1,All Days
253M/1,All Days
253P/1,All Days
253R/1,All Days
253V/1,All Days
253W/1,All Days
254A/1,All Days
254A/3,All Days
254B/1,All Days
254C/1,All Days
254D/1,All Days
254E/1,All Days
255A/1,All Days
255B/1,All Days
255C/1,All Days
255E/1,All Days
255E/3,All Days
255H/1,All Days
255J/1,All Days
255L/1,All Days
255N/1,All Days
256B/1,All Days
256C/1,All Days
256F/2,All Days
256K/1,All Days
256M/1,All Days
256MA/1,All Days
257C/1,All Days
257D/1,All Days
257E/1,All Days
257H/1,All Days
258/1,All Days
258/2,All Days
258/3,All Days
258/4,All Days
258/9,All Days
258A/1,All Days
258AB/1,All Days
258B/3,Holiday
258B/4,All Days
258BN/1,Holiday
258BN/2,All Days
258C/10,All Days
258C/12,All Days
258C/17,All Days
258C/1,All Days
258C/3,All Days
258C/5,All Days
258C/6,All Days
258C/8,All Days
258CB/2,Holiday
258CB/5,All Days
258CB/9,Week Days
258CC/2,All Days
258CC/3,All Days
258CC/4,All Days
258E/2,All Days
258F/1,All Days
258G/1,All Days
258GA/1,All Days
258K/1,All Days
258M/2,All Days
258M/3,All Days
258MA/1,All Days
258Q/1,All Days
258QA/1,All Days
258R/1,All Days
258S/1,All Days
258SA/1,All Days
258SB/1,All Days
258SD/1,All Days
258TA/1,All Days
258TC/1,All Days
258U/1,All Days
258VA/1,All Days
258VB/1,All Days
258VC/1,All Days
258VF/1,All Days
258VG/1,All Days
258WA/1,All Days
258Y/1,All Days
259B/1,All Days
25A/10,All Days
25A/1,All Days
25A/2,All Days
25A/5,All Days
25A/6,All Days
25A/8,Holiday
25A/9,Holiday
25B/1,All Days
25B/2,Holiday
25B/3,All Days
25C/1,All Days
25E/1,Week Days
25E/2,Holiday
25E/3,Week Days
25E/4,All Days
25G/1,Holiday
25G/2,Holiday
25G/3,All Days
25G/4,All Days
25H/1,Week Days
25J/1,Week Days
25N/1,All Days
263/1,All Days
263/2,All Days
263A/1,All Days
263A/2,All Days
263C/1,All Days
263D/1,All Days
263E/1,All Days
263K/1,All Days
264/2,All Days
264A/2,All Days
264A/3,All Days
264A/4,All Days
265/10,All Days
265/11,Week Days
265/12,All Days
265/13,All Days
265/14,All Days
265/15,All Days
265/1,All Days
265/2,All Days
265/3,All Days
265/4,All Days
265/5,All Days
265/6,All Days
265/8,All Days
265/9,All Days
265A/11,All Days
265A/12,All Days
265A/13,All Days
265A/1,All Days
265A/2,All Days
265A/3,All Days
265A/4,All Days
265A/5,All Days
265A/6,All Days
265A/7,All Days
265A/8,All Days
265A/9,All Days
265D/1,Holiday
266/2,All Days
266A/1,All Days
266B/1,All Days
266C/1,All Days
266D/1,All Days
266E/1,All Days
266F/1,All Days
266G/1,All Days
266J/1,All Days
266K/1,All Days
266M/1,All Days
266N/1,All Days
266Q/1,All Days
266R/1,All Days
266T/2,All Days
266T/3,All Days
267/1,All Days
268/1,All Days
269/1,All Days
269/2,All Days
269A/1,All Days
269B/3,Week Days
27/1,All Days
27/2,All Days
270/2,All Days
270/3,All Days
270/4,All Days
270/5,All Days
270A/1,All Days
270A/2,All Days
270D/2,All Days
270E/2,All Days
270HA/2,All Days
270HA/3,All Days
270S/1,Week Days
271/1,All Days
271A/1,All Days
271A/2,All Days
271A/3,All Days
271A/4,All Days
271B/1,All Days
271B/2,Week Days
271C/1,All Days
271C/2,All Days
271D/1,All Days
271D/3,All Days
271E/1,All Days
271F/1,All Days
271F/2,All Days
271G/1,All Days
271K/2,All Days
271N/1,All Days
271P/1,All Days
271Q/1,All Days
271Q/2,All Days
271Q/3,All Days
271Q/4,All Days
271R/1,All Days
271R/2,All Days
271R/3,All Days
271R/4,All Days
271R/5,All Days
271T/1,All Days
271T/2,All Days
271TA/1,All Days
272E/1,All Days
273/1,All Days
273/3,All Days
273/4,All Days
273/5,All Days
273/6,All Days
273/9,All Days
273B/1,All Days
273B/2,All Days
273B/3,All Days
273C/10,All Days
273C/11,All Days
273C/1,Week Days
273C/2,Holiday
273C/3,All Days
273C/4,All Days
273C/5,All Days
273C/6,All Days
273C/7,All Days
273C/8,All Days
273C/9,All Days
273F/1,All Days
273F/2,All Days
273H/2,Week Days
273J/1,All Days
275B/4,All Days
275C/3,Week Days
276/10,All Days
276/11,All Days
276/12,All Days
276/13,All Days
276/14,All Days
276/16,Saturday
276/17,All Days
276/18,All Days
276/19,All Days
276/1,All Days
276/20,All Days
276/21,Holiday
276/23,Holiday
276/24,Holiday
276/25,Holiday
276/26,All Days
276/27,Holiday
276/28,Holiday
276/2,All Days
276/3,All Days
276/4,All Days
276/6,All Days
276/7,All Days
276/8,All Days
276/9,All Days
276A/1,All Days
276A/2,All Days
276A/4,All Days
