stop,lat,long
koli farm hegade nagara road,13.0762,77.634
kodi palya cross gollahalli kodidoddi palya in front of jnana sagar primary school,12.7541,77.448
yeshwanthpura railway station yeshawanthapura in front of yeshawanthapura railway station,13.0218,77.553
jalahalli west indian air force jalahalli opposite of no.1 sncos mess,13.053,77.53
kodipalya kodi playa opposite of govt. primary school,13.2097,77.452
karlapura karlapura beside residential area,13.2067,77.492
monotype banashankari  2nd stage beside avk & nsvk institutions,12.9215,77.571
marasur anekal taluk near shankar naga mantap,12.7621,77.714
hunasamarenahalli in front of manjunatha provision store,13.1446,77.617
kenchapura cross,12.9416,77.493
subramanya temple hanumantha nagara in front of cauvery furniture showroom,12.9416,77.562
manchanabele dam cross manchana bele in front of water tank,12.8715,77.34
bel market jalahalli beside new stone bakery,13.0516,77.552
chandra layout ganesh temple chandra layout beside post office,12.9584,77.529
national college basavanagudi shankarapuram in front of national high school,12.9494,77.574
rbi layout r.b.i.layout in front of someshwara sabha bhavana,12.888,77.582
hebbagodi kammasandra cross electronic city post in front of sakthi bakery & sweets,12.8279,77.682
mahadeshwara nagara 16th main madheshwara nagara opposite of temple,12.9098,77.61
laxmipura lakshmipura beside open area,13.0378,77.461
yadalam nagara yadalam nagara in front of smashana,12.8962,77.549
makkalakoota chamaraja pete beside the bangalore city institute,12.9572,77.573
jayanagara 18th main jayanagara 4th t block opposite of lakshmi ayurvedic center,12.9232,77.589
ondimane opposite of muneshwara temple,12.9023,77.802
channegowdana doddi channe gowdana doddi beside government primary school,12.8068,77.429
state bank of india beside honda servising company,12.974,77.601
eerannapalya sunkadakatte,12.9756,77.498
ravuthanahalli ravuthanahalli beside lakshmidevi temple,13.0266,77.424
wonderla gate manchanayakana halli opposite of mandarathi food line hotel,12.8346,77.414
adugodi adugodi in front of govt. girls school,12.944,77.607
sonnanayakanpura,12.7284,77.659
devadiga soudha rajeshwari nagara ideal homes township in front of monish corner hotel,12.927,77.52
kempapura railway gate,12.9686,77.559
garudachar palya hoodi in front of xylem air bus,12.9941,77.702
vijaya college basavanagudi beside vijaya college,12.9413,77.58
biana palya bayana palya in front of mataji steel mart,12.8746,77.541
st johns hospital,12.9295,77.616
mallohalli channadevi agarahara in front of petty shop,13.2307,77.451
parasanapalya in front of ashwatha katte,12.7992,77.437
upkar residency layout,12.959,77.488
girinagara extention beside kavya digital studio,12.9411,77.54
dodda jala mylanahalli road dodda jala in front of anjaneya temple,13.1765,77.653
tata institute bus stand,13.0142,77.567
bramha devara gudda,12.9748,77.475
chikkanahalli opposite of byraveshwara temple,13.1838,77.689
makali makali opposite of s.l.r. bakery,13.0655,77.454
mahathma gandhi statue opposite of channaswamy stadium,12.9774,77.599
ramamandira chamarajapete,12.9571,77.563
vijayanagara vijayanagara in front of sarvejana eduction socity,12.9758,77.539
shanubhogana halli,12.9613,77.325
yelachenahalli,12.8975,77.572
dwarka nagar dwarakanagara beside ambema electricals,13.0878,77.495
double road beml layout b.e.m.l. double road circle in front of hdfc bank,12.9143,77.521
yeshwanthpura market,13.0202,77.555
uttarahalli,12.9087,77.536
dodderi grama dodderi village in front of residential area,12.8664,77.377
kadumane hotel,12.815,77.407
nagendra block banashankari 3rd stage nagendra block beside swastik hard ware,12.9418,77.553
church jayanagara 4th t block beside poornima convention,12.928,77.588
kala mandir marathalli marathahalli in front of ittina akya,12.9604,77.701
kittanahalli palya kittanahalli cross beside panchayathi office,13.0091,77.421
nanda talkies,12.9323,77.58
jettipalya jattipalya in front of door no-27,12.7507,77.473
beml gate,12.9712,77.659
hoovinayakanahalli gate beside open area,13.1559,77.681
neraluru gate attibele hobli anekal taluku opposite of neraluru grama panchayat office,12.7919,77.73
honachanahalli,13.0203,77.844
nandini talkies mahalakshmipuram opposite of udupi upahara,13.0032,77.544
dodda aladamara cross tavarekere beside open area,12.9639,77.407
church,12.8763,77.626
rani saraladevi school ashoka pillar jayanagara 1st block beside saraladevi school,12.9389,77.585
gandipura white field opposite of govt. school gandhi pura,12.9696,77.753
dodda dasarahalli in front of channarayaswami temple,13.0047,77.831
jn of ring road channasandra ramamurthi nagara beside railway bridge,13.0132,77.663
milk colony malleshwaram west beside mr provision store,13.0091,77.56
chikka aaudugodi chikka adugodi opposite of doddammadevi temple,12.9287,77.609
weavers colony weavers colony in front of ambika hardware,12.8444,77.583
kumbalahalli gate upparahalli beside open area,13.0885,77.781
14th main hsr layout hsr layout in front of westmead clinic,12.9163,77.635
avaragere avaragere in front of anganavadi,12.8202,77.381
asc center austin town beside quarters,12.9623,77.619
pooja garden vaishnavi layout in front of baktha ajaneya temple,13.0388,77.677
srinivasapura,12.99,77.655
tavare kere tavarekere opposite of s.l.r.diagnostic hospital,12.9657,77.4
chikkallasandra aralimara chikkalasandra in front of komarla feeds,12.9121,77.552
baguru baguru in front of small water tank & houses,12.8969,77.842
chikkagubbi cross byrathi bande open area,13.0779,77.654
muddana palya in front of revana siddeshwara provision store,12.9192,77.382
avalahalli,13.036,77.736
kala mandir marathalli marathahalli in front of kalamandira silk center,12.9596,77.701
kathalipalya,12.9925,77.638
budamanahalli budamana halli beside govt.primary school,13.1908,77.528
malleshwaram 8th cross malleshwaram opposite of r.v.apartments,13.0003,77.565
heelalige cross anekal taluk in front of priyanka enterprises,12.8087,77.709
kr circle beside district treasury office,12.9738,77.587
rajaji nagara entrance rajaji nagara m.e.polytechnic college,12.9842,77.557
vit cross devanahalli road opposite of emmvee,13.1515,77.62
koramangala water tank koramangala ring road beside water tank,12.9279,77.621
mullur mulluru in front of water tank,12.9045,77.724
tavarekere tavarekere slv mobile centre,12.9657,77.4
vidhanasoudha layout vidhana soudha layout beside hopcoms shop,13.0157,77.523
bilekalli,12.9002,77.601
muneshwara block muneshwara block beside prabhu bhavan sweets,12.9423,77.548
kadabagere  kadabagere in front of anjaneya temple,12.9969,77.433
yanagunte yengunte opposite of door no 35,13.1578,77.791
sulthan palya sulthanpalya  rt nagara in front of state bank of india,13.0247,77.603
kadirenahalli village kadirenahalli beside open area,13.0419,77.448
thomas cafe bharathi nagara beside petrol bunk,12.9905,77.614
geddala halli geddalahalli beside maruthi medicals and generals stores,13.0307,77.577
richmond circle,12.9675,77.599
channasandra in front of muthoot finance,12.9833,77.768
tavarekere magadi road,12.966,77.4
marsoor gate  marasoor gate-anekal taluk near bharat petrol bunk,12.7698,77.702
ramohalli cross kumbalagudu in front of rajarajeshwari dental college & hospital,12.8872,77.451
depot-36,12.7692,77.413
hmt watch factory h.m.t. opposite of h.m.t.watch factory,13.0489,77.536
muthyalaya nagar muthyala nagara  near mathikere beside muthyalamma temple,13.0414,77.549
hongasandra mico layout  beguru opposite of prasiddi building,12.8814,77.63
shivarama karanth layout 13th cross,13.0693,77.624
budigere budigere beside shiva tiffen centre,13.1353,77.748
sompura,12.8777,77.497
rm guttahalli,13.0003,77.584
balepura balepura opposite of govt. primary school,13.1977,77.777
ganesha circle kammasandra near sri raghavendra swamy temple (brundavana),13.0257,77.455
rayasandra cross agalukote,13.2118,77.741
bel market jalahalli beside open area,13.0521,77.552
bangalore dairy circle,12.9353,77.601
sonnenahalli hospital in front of government hospital,13.1592,77.611
huskur,12.8356,77.68
thirumalapura gate thirumalapura beside kishore stores,13.1254,77.484
dibbur gate dibbur gate beside lucky motors,13.1725,77.53
sigehalli gate sigehalli beside open area,12.9841,77.444
dairy hegganahalli heggana halli in front of smart age infotech,13.0078,77.506
hunase mara banashankari banashankari 2nd stage infront of sevakshethra hospital,12.9208,77.574
gavigangadeshwara temple kempegowda nagara in front of vasavi mens wear,12.9492,77.563
kenchanayakana doddi kanchagayanadoddi in front of mahadeshwara temple,12.8227,77.557
biana palya bayana palya in front of r.c.j. machineries pvt.ltd,12.8742,77.541
belagumba,12.9949,77.246
jn of oil mill road,13.0127,77.635
hennagra gate bommasandra post in front of sub register & marriage office,12.8058,77.699
geddalahalli geddalahalli beside vinod jewellers,13.0309,77.578
manjushree garments,13.0141,77.501
thanisandra,13.0564,77.633
lakkayyanapalya lakkayyanapalya opposite of government primary school,12.8894,77.402
thunga nagara tunga nagara beside sneha telecommunications,12.9918,77.485
sulikere yelachaguppe beside open area,12.9348,77.447
kodigehalli kodigehalli beside petty shop,13.0575,77.592
vajramuneshwara gate,12.8637,77.532
tghalli,12.9525,77.335
hasigala hasigala beside milk federation building,13.1353,77.775
mgm school ramohalli in front of shrinidhi lodge,12.8975,77.433
unani hospital basaveshwaranagara in front of union bank,12.9822,77.537
eradu kamba gonipura k.gollahalli beside open area,12.8491,77.451
mazar hosahalli cross majara hosahalli opposite of anganavadi school,13.2532,77.538
lourdhubhai kalyana mantapa prema nagara in front of kanva wines,12.9975,77.523
convent school vijayanagara 2nd stage beside ganesha juice center,12.965,77.539
garebhavi palya,12.8963,77.636
rampura rampura opposite of water tank,12.8903,77.399
premium farm budigere,13.0727,77.737
keb,12.7764,77.645
rajaji nagar 1st block rajajinagara beside diacon hospital,13.0038,77.55
dwaraka nagar dwarakanagara beside veeranjaneya swamy temple,13.1212,77.618
veeranna palya veerannapalya  nagavara opposite of indian oil petrol bunk,13.0421,77.614
kamalanagar 8th main basaveshwaranagara in front of malnad suggi hotel,12.9924,77.539
annapoorneshwari nagara annapoorneshwari nagara near annapoorneshwari bakery,12.9806,77.507
drdo qts c.v.raman nagara in front of mes service center no-1,12.9845,77.661
gadipalya gadipalya in front of door no 78,12.7662,77.528
kalyana nagara kalyana nagara road beside indianoil petrol bunk,13.0259,77.637
vivekanada nagara vivekananda nagara in front of m.m.bar & restaurant,12.9305,77.554
srinivagilu natta gate beside sri golden bar & restaurant,12.9382,77.633
bethanagere cross dodderi village in front of aladamara,12.8671,77.368
kengeri bande mata kengeri upanagara opposite of adishakthi doddamma temple,12.9199,77.477
corporationpallavi sampangirama nagara in front of pallavi talkies,12.9679,77.591
hmt shopping complex,13.0497,77.537
magadi road 10th cross magadi road near metro station,12.9758,77.557
p&t kadugondanahalli police station,13.0134,77.617
karihobanahalli cross karihobanahalli beside residential area,13.0248,77.486
ramgundanhalli,12.9571,77.74
hal main gate,12.9584,77.666
ags layout a.g.s. layout near b.m.t.c. bus stand,12.9123,77.537
venkatapura gate j venkatapura opposite of society,13.28,77.82
hirandhalli hirandahalli opposite of society,13.0458,77.723
vinayaka nagara haleguddadahalli beside holy rock convent,12.961,77.551
gangondahalli church gangadhara halli  ahmed nagara in front of a.a.f.fancy stores,12.9512,77.527
coxtown water tank cox town in front of meg training area,12.9938,77.627
hsr apartment koramanagala  hsr layout in front of aranya multi cuisine restaurant,12.9168,77.629
gerupalya gerupalya opposite of lakshman provision store,12.8877,77.444
pipe line vasanthapura opposite of ramdev hard ware,12.895,77.555
machohalli colony machohalli beside residential area,12.997,77.452
mayasandra mayasandra in front of aralimara,12.8767,77.377
bennigana halli,12.9941,77.663
thavarekatte chunchana kuppe beside open area,12.9115,77.383
hope form in front of farm house,12.9837,77.753
tharabahalli gate doddajala in front of i.t.c.factory,13.1885,77.644
koodlu gate,12.8899,77.64
venugopal nagara venugopala nagara beside monisha provision stores,13.0397,77.494
prarthana school padmanabha nagara,12.912,77.559
dunnasandra cross in front of mayura bakery & sweets,12.9758,77.82
havanuru circle basaveshwaranagara in front of shoppers city shop  opposite of shanthi sagara party hall,12.9891,77.538
hullala cross,12.9516,77.479
kr puram railway station kr puram back side of railway station,13.0001,77.676
khodays circle subhash nagara  bangalore in fornt of cauvery hotel,12.9803,77.571
horamavu horamavu in front of ganapathi temple,13.0264,77.661
dodda gattiganabbe in front of residential area,13.0334,77.785
premium farm budigere manduru opposite of baldwin school,13.0726,77.737
gattigere palya,12.8926,77.486
yarehalli,12.7054,77.429
gangothri circle btm layout 1st stage in front of cosmo bakery,12.9197,77.613
doddasanne dodda sanne opposite of sri rama temple,13.2185,77.694
wipro park koramangala,12.9287,77.633
